repo,file_path,language,framework,matched_keywords,html_url
android/sunflower@views,app/src/androidTest/java/com/google/samples/apps/sunflower/utilities/TestUtils.kt,Kotlin,Android Views,findViewById,https://github.com/android/sunflower/blob/views/app/src/androidTest/java/com/google/samples/apps/sunflower/utilities/TestUtils.kt
android/sunflower@views,app/src/main/AndroidManifest.xml,XML,Android Views,xmlns:android=,https://github.com/android/sunflower/blob/views/app/src/main/AndroidManifest.xml
android/sunflower@views,app/src/main/java/com/google/samples/apps/sunflower/GalleryFragment.kt,Kotlin,Android Views,LayoutInflater; android.view.View; android.view.ViewGroup; databinding,https://github.com/android/sunflower/blob/views/app/src/main/java/com/google/samples/apps/sunflower/GalleryFragment.kt
android/sunflower@views,app/src/main/java/com/google/samples/apps/sunflower/GardenActivity.kt,Kotlin,Android Views,setContentView; DataBinding; databinding,https://github.com/android/sunflower/blob/views/app/src/main/java/com/google/samples/apps/sunflower/GardenActivity.kt
android/sunflower@views,app/src/main/java/com/google/samples/apps/sunflower/GardenFragment.kt,Kotlin,Android Views,findViewById; LayoutInflater; android.view.View; android.view.ViewGroup; setOnClickListener; databinding,https://github.com/android/sunflower/blob/views/app/src/main/java/com/google/samples/apps/sunflower/GardenFragment.kt
android/sunflower@views,app/src/main/java/com/google/samples/apps/sunflower/HomeViewPagerFragment.kt,Kotlin,Android Views,LayoutInflater; android.view.View; android.view.ViewGroup; databinding,https://github.com/android/sunflower/blob/views/app/src/main/java/com/google/samples/apps/sunflower/HomeViewPagerFragment.kt
android/sunflower@views,app/src/main/java/com/google/samples/apps/sunflower/PlantDetailFragment.kt,Kotlin,Android Views,LayoutInflater; android.view.View; android.view.ViewGroup; setOnClickListener; DataBinding; databinding,https://github.com/android/sunflower/blob/views/app/src/main/java/com/google/samples/apps/sunflower/PlantDetailFragment.kt
android/sunflower@views,app/src/main/java/com/google/samples/apps/sunflower/PlantListFragment.kt,Kotlin,Android Views,LayoutInflater; android.view.View; android.view.ViewGroup; inflater.inflate; databinding,https://github.com/android/sunflower/blob/views/app/src/main/java/com/google/samples/apps/sunflower/PlantListFragment.kt
android/sunflower@views,app/src/main/java/com/google/samples/apps/sunflower/adapters/BindingAdapters.kt,Kotlin,Android Views,android.view.View; databinding,https://github.com/android/sunflower/blob/views/app/src/main/java/com/google/samples/apps/sunflower/adapters/BindingAdapters.kt
android/sunflower@views,app/src/main/java/com/google/samples/apps/sunflower/adapters/GalleryAdapter.kt,Kotlin,Android Views,LayoutInflater; RecyclerView.ViewHolder; android.view.View; android.view.ViewGroup; databinding,https://github.com/android/sunflower/blob/views/app/src/main/java/com/google/samples/apps/sunflower/adapters/GalleryAdapter.kt
android/sunflower@views,app/src/main/java/com/google/samples/apps/sunflower/adapters/GardenPlantingAdapter.kt,Kotlin,Android Views,LayoutInflater; RecyclerView.ViewHolder; android.view.View; android.view.ViewGroup; DataBinding; databinding,https://github.com/android/sunflower/blob/views/app/src/main/java/com/google/samples/apps/sunflower/adapters/GardenPlantingAdapter.kt
