repo,file_path,language,framework,matched_keywords,html_url
soramitsu/fearless-iOS,fearless/AppDelegate.swift,Swift,UIKit,import UIKit,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/AppDelegate.swift
soramitsu/fearless-iOS,fearless/ApplicationLayer/FearlessApplication.swift,Swift,UIKit,import UIKit,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/ApplicationLayer/FearlessApplication.swift
soramitsu/fearless-iOS,fearless/ApplicationLayer/SoraCard/SCService/SCKYCService.swift,Swift,UIKit,import UIKit,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/ApplicationLayer/SoraCard/SCService/SCKYCService.swift
soramitsu/fearless-iOS,fearless/ApplicationLayer/main.swift,Swift,UIKit,import UIKit,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/ApplicationLayer/main.swift
soramitsu/fearless-iOS,fearless/Common/Animation/ModalSheetBlurPresentationAppearanceAnimator.swift,Swift,UIKit,import UIKit; UIViewController; UIView,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Animation/ModalSheetBlurPresentationAppearanceAnimator.swift
soramitsu/fearless-iOS,fearless/Common/Animation/ModalSheetBlurPresentationController.swift,Swift,Mixed (SwiftUI + UIKit),View {; import UIKit; UIViewController; UIView; addSubview(; UIScrollView,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Animation/ModalSheetBlurPresentationController.swift
soramitsu/fearless-iOS,fearless/Common/Animation/ModalSheetBlurPresentationDismissAnimator.swift,Swift,UIKit,UIViewController; UIView,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Animation/ModalSheetBlurPresentationDismissAnimator.swift
soramitsu/fearless-iOS,fearless/Common/Animation/ModalSheetBlurPresentationFactory.swift,Swift,UIKit,import UIKit; UIViewController; UIView,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Animation/ModalSheetBlurPresentationFactory.swift
soramitsu/fearless-iOS,fearless/Common/Animation/RootControllerAnimationCoordinator.swift,Swift,UIKit,import UIKit; UIViewController; UIView,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Animation/RootControllerAnimationCoordinator.swift
soramitsu/fearless-iOS,fearless/Common/Extension/AsyncMap.swift,Swift,SwiftUI,ForEach(,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Extension/AsyncMap.swift
soramitsu/fearless-iOS,fearless/Common/Extension/FWCosmosView.swift,Swift,Mixed (SwiftUI + UIKit),View {; import UIKit,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Extension/FWCosmosView.swift
soramitsu/fearless-iOS,fearless/Common/Extension/Foundation/String+Helpers.swift,Swift,UIKit,import UIKit,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Extension/Foundation/String+Helpers.swift
soramitsu/fearless-iOS,fearless/Common/Extension/TableView+Scrolling.swift,Swift,Mixed (SwiftUI + UIKit),View {; import UIKit; UITableView,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Extension/TableView+Scrolling.swift
soramitsu/fearless-iOS,fearless/Common/Extension/UIApplication+TopViewController.swift,Swift,UIKit,import UIKit; UIViewController; UIView; UINavigationController; UITabBarController,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Extension/UIApplication+TopViewController.swift
soramitsu/fearless-iOS,fearless/Common/Extension/UIControl+Disable.swift,Swift,UIKit,import UIKit,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Extension/UIControl+Disable.swift
soramitsu/fearless-iOS,fearless/Common/Extension/UIImage+ColorsInvert.swift,Swift,UIKit,import UIKit,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Extension/UIImage+ColorsInvert.swift
soramitsu/fearless-iOS,fearless/Common/Extension/UIImageView+gif.swift,Swift,Mixed (SwiftUI + UIKit),View {; import UIKit; UIImageView,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Extension/UIImageView+gif.swift
soramitsu/fearless-iOS,fearless/Common/Extension/UIKit/PolkadotIcon+Image.swift,Swift,UIKit,import UIKit,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Extension/UIKit/PolkadotIcon+Image.swift
soramitsu/fearless-iOS,fearless/Common/Extension/UIKit/SkeletonRow+View.swift,Swift,UIKit,UIView,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Extension/UIKit/SkeletonRow+View.swift
soramitsu/fearless-iOS,fearless/Common/Extension/UIKit/TriangularedButton+Style.swift,Swift,UIKit,import UIKit,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Extension/UIKit/TriangularedButton+Style.swift
soramitsu/fearless-iOS,fearless/Common/Extension/UIKit/TriangularedView+Style.swift,Swift,SwiftUI,View {,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Extension/UIKit/TriangularedView+Style.swift
soramitsu/fearless-iOS,fearless/Common/Extension/UIKit/UIAlertViewController+Account.swift,Swift,UIKit,import UIKit,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Extension/UIKit/UIAlertViewController+Account.swift
soramitsu/fearless-iOS,fearless/Common/Extension/UIKit/UIBarButtonItem+Style.swift,Swift,UIKit,import UIKit,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Extension/UIKit/UIBarButtonItem+Style.swift
soramitsu/fearless-iOS,fearless/Common/Extension/UIKit/UIButton.swift,Swift,UIKit,import UIKit; UIView; UIButton,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Extension/UIKit/UIButton.swift
