framework,project,sq_ncloc,sq_lines,sq_files,sq_functions,sq_classes,sq_statements,sq_complexity,sq_cognitive_complexity,sq_code_smells,sq_bugs,sq_sqale_debt_ratio,sq_duplicated_lines_density,sq_comment_lines,sq_comment_lines_density,hal_loc,hal_n1_unique_operators,hal_n2_unique_operands,hal_N1_total_operators,hal_N2_total_operands,hal_vocabulary,hal_length,hal_volume,hal_calculated_length,hal_difficulty,hal_effort,hal_time_seconds,hal_bugs_delivered,state_mutable_vars,state_immutable_vars,state_observable_state_vars,state_state_updates,derived_mutable_variable_ratio,derived_maintainability_index
compose,architecture-samples-compose,4185.0,7218.0,87.0,248.0,57.0,1272.0,306.0,87.0,69.0,0.0,0.3,0.0,872.0,17.2,1416.0,121.0,742.0,1516.0,1832.0,863.0,3348.0,22832.2,606.4100000000001,13.335,36496.015,2027.56,0.7785,2.0,21.0,2.0,3.0,0.087,29.66
compose,dicio-android,23242.0,28066.0,310.0,782.0,296.0,4829.0,1656.0,1256.0,132.0,0.0,0.1,0.1,1771.0,7.1,7673.0,921.0,5019.0,10420.0,11570.0,5940.0,21990.0,152371.32,430.33500000000004,11.934999999999999,21457.385000000002,1192.075,0.473,37.0,384.0,21.0,51.0,0.0879,33.88
compose,Gallery,60908.0,68622.0,496.0,1267.0,413.0,11211.0,3435.0,4498.0,252.0,5.0,0.2,3.5,2473.0,3.9,36311.0,3838.0,22253.0,50174.0,58442.0,26091.0,108616.0,777024.64,424.67,14.76,23387.52,1299.31,0.517,286.0,2323.0,223.0,559.0,0.1096,33.43
compose,Jetcaster,14927.0,21182.0,272.0,488.0,159.0,2564.0,763.0,409.0,100.0,0.0,0.2,0.9,1248.0,7.7,11718.0,1019.0,6024.0,13111.0,15306.0,7043.0,28417.0,201457.63,255.01,10.0,10529.86,584.99,0.3,17.0,531.0,21.0,21.0,0.031,34.77
compose,nowinandroid,20890.0,33389.0,413.0,853.0,308.0,4491.0,1231.0,592.0,265.0,0.0,0.2,2.6,2881.0,12.1,8498.0,681.0,4119.0,8749.0,10612.0,4800.0,19361.0,134959.99,386.22,12.11,14000.869999999999,777.825,0.4135,34.0,351.0,19.0,60.0,0.0883,30.575
compose,pokedex-compose,3862.0,7094.0,142.0,165.0,85.0,688.0,235.0,96.0,18.0,0.0,0.1,1.1,459.0,10.6,2280.0,324.0,1369.0,2712.0,3107.0,1693.0,5819.0,37554.07,234.72,9.225,5691.45,316.19,0.18,6.0,58.0,3.0,24.0,0.0938,41.79
compose,sunflower,3680.0,6422.0,98.0,144.0,58.0,702.0,193.0,63.0,26.0,1.0,0.1,0.0,676.0,15.5,1961.0,177.0,1127.0,2162.0,2461.0,1304.0,4623.0,32172.44,382.01,9.46,9767.59,542.645,0.42100000000000004,2.0,122.0,2.0,3.0,0.0161,34.785
compose,tivi,26609.0,36630.0,748.0,1250.0,794.0,5143.0,2192.0,1215.0,322.0,21.0,0.2,0.8,941.0,3.4,3358.0,669.0,2330.0,4224.0,4718.0,2999.0,8942.0,54314.24,178.94,8.7,4623.22,256.85,0.189,10.0,122.0,11.0,27.0,0.0758,42.6
views,Simple-Gallery,41964.0,47194.0,293.0,1097.0,108.0,9608.0,3869.0,4114.0,268.0,3.0,0.2,1.0,981.0,2.3,15443.0,1395.0,9681.0,28772.0,29867.0,11076.0,58639.0,491176.96,664.565,24.35,64873.285,3604.0699999999997,0.8285,416.0,1259.0,13.0,857.0,0.2484,30.54
views,Simple-Music-Player,16456.0,19320.0,251.0,726.0,109.0,4099.0,1485.0,1187.0,55.0,1.0,0.1,0.8,507.0,3.0,4821.0,862.0,4622.0,9947.0,10585.0,5484.0,20532.0,152900.33,717.9549999999999,22.42,56967.25,3164.8500000000004,0.891,59.0,332.0,13.0,192.0,0.1509,31.384999999999998
views,apps-android-wikipedia,301904.0,324919.0,1966.0,6443.0,2066.0,37738.0,13565.0,10854.0,835.0,8.0,0.1,0.4,5098.0,1.7,24816.0,3158.0,18977.0,46094.0,50532.0,22135.0,96626.0,750408.08,670.01,21.96,54958.78,3053.27,0.858,323.0,1140.0,26.0,740.0,0.2208,30.66
views,architecture-samples-views,4413.0,7648.0,91.0,350.0,50.0,1488.0,433.0,101.0,84.0,0.0,0.3,1.9,1254.0,22.1,797.0,153.0,504.0,926.0,938.0,657.0,1864.0,11666.28,313.185,12.86,12325.795,684.765,0.3185,12.0,37.0,5.0,26.0,0.2449,38.29
views,dicio-android-views,9782.0,11729.0,195.0,332.0,95.0,2049.0,673.0,625.0,48.0,3.0,0.1,0.0,871.0,8.2,2363.0,369.0,1515.0,3621.0,3656.0,1884.0,7277.0,51095.1,468.51,20.1,46562.825,2586.825,0.66,53.0,135.0,0.0,115.0,0.2819,29.73
views,Pokedex,2614.0,5038.0,91.0,108.0,52.0,398.0,146.0,39.0,10.0,0.0,0.1,0.0,312.0,10.7,568.0,118.0,375.0,600.0,670.0,493.0,1270.0,8159.509999999999,256.795,11.7,7145.465,396.97,0.203,6.0,22.0,1.0,8.0,0.2143,41.855000000000004
views,showly,112042.0,127743.0,2197.0,3703.0,1705.0,23927.0,7685.0,5179.0,515.0,4.0,0.1,2.7,382.0,0.3,3867.0,802.0,3208.0,6700.0,7128.0,4010.0,13828.0,96342.39,395.82,18.35,21712.59,1206.25,0.424,66.0,228.0,0.0,46.0,0.2245,36.29
views,sunflower_views,3181.0,5989.0,117.0,127.0,59.0,456.0,164.0,36.0,14.0,1.0,0.1,0.0,1043.0,24.7,747.0,158.0,511.0,792.0,829.0,669.0,1621.0,9928.470000000001,321.38,12.19,12090.0,671.67,0.31,3.0,28.0,0.0,5.0,0.0968,38.9
