framework,project,sq_ncloc,sq_lines,sq_files,sq_functions,sq_classes,sq_statements,sq_complexity,sq_code_smells,sq_bugs,sq_sqale_debt_ratio,sq_duplicated_lines_density,sq_comment_lines,sq_comment_lines_density,hal_loc,hal_n1_unique_operators,hal_n2_unique_operands,hal_N1_total_operators,hal_N2_total_operands,hal_vocabulary,hal_length,hal_volume,hal_calculated_length,hal_difficulty,hal_effort,hal_time_seconds,hal_bugs_delivered,state_mutable_vars,state_immutable_vars,state_observable_state_vars,state_state_updates,derived_mutable_variable_ratio,derived_maintainability_index,swift_total_cognitive,swift_total_cyclomatic
swiftui,ACHNBrowserUI,10568.0,13474.0,161.0,255.0,26.0,,1463.0,1008.0,1.0,1.7,0.0,1228.0,10.4,11796.0,2730.0,10619.0,22883.0,22210.0,13349.0,45093.0,305137.01,363.27,15.47,15994.79,888.6,0.38,399.0,357.0,292.0,205.0,0.5278,39.58,593,1387
swiftui,chess_swiftui,742.0,992.0,5.0,24.0,1.0,,174.0,30.0,0.0,1.3,0.0,103.0,12.2,845.0,88.0,353.0,1965.0,2094.0,441.0,4059.0,29686.899999999998,307.39,10.04,7712.34,428.46,0.28,37.0,52.0,18.0,85.0,0.4157,40.6,183,155
swiftui,gem-ios,20538.0,24160.0,270.0,593.0,57.0,,1220.0,2.0,0.0,0.0,0.0,435.0,2.1,20973.0,4690.0,17921.0,41310.0,40422.0,22611.0,81732.0,560277.63,362.345,15.33,17677.98,982.115,0.386,498.0,806.0,248.0,471.0,0.3819,39.89,928,3196
swiftui,LyricFever,4470.0,5618.0,36.0,115.0,10.0,,229.0,604.0,0.0,2.4,0.0,582.0,11.5,5052.0,700.0,3703.0,8682.0,8984.0,4403.0,17666.0,134835.48,435.735,15.87,27312.705,1517.375,0.587,216.0,232.0,100.0,275.0,0.4821,35.21,473,633
swiftui,MovieSwiftUI,5414.0,7007.0,91.0,148.0,10.0,,941.0,862.0,0.0,2.7,0.0,689.0,11.3,6103.0,1526.0,5385.0,12667.0,12528.0,6911.0,25195.0,169124.91,353.29,12.76,12983.28,721.29,0.321,194.0,353.0,101.0,171.0,0.3547,41.055,319,687
swiftui,PokedexUI,1169.0,1570.0,29.0,56.0,4.0,,75.0,21.0,0.0,0.3,0.0,190.0,14.0,1359.0,470.0,1142.0,2481.0,2488.0,1612.0,4969.0,31409.85,216.69,12.33,7621.19,423.4,0.193,53.0,59.0,26.0,33.0,0.4732,47.375,50,160
swiftui,dimeApp,21280.0,27230.0,81.0,273.0,19.0,,867.0,705.0,2.0,0.8,5.1,2006.0,8.6,23286.0,1894.0,12183.0,58270.0,57672.0,14077.0,115942.0,997791.41,693.62,23.79,76145.82,4230.32,0.995,1227.0,1216.0,570.0,1487.0,0.5023,31.1,2392,2570
uikit,Chess,585.0,708.0,6.0,42.0,5.0,,124.0,17.0,0.0,0.6,0.0,42.0,6.7,627.0,110.0,443.0,1517.0,1476.0,553.0,2993.0,22169.62,412.475,20.12,56202.895,3122.38,0.6259999999999999,24.0,46.0,0.0,20.0,0.3429,23.134999999999998,63,121
uikit,Expense-Tracker-App,4016.0,5762.0,58.0,254.0,47.0,,372.0,1180.0,5.0,5.1,0.0,587.0,12.8,4603.0,899.0,4337.0,12142.0,12910.0,5236.0,25052.0,177435.3,369.9,14.344999999999999,23482.32,1304.57,0.506,105.0,461.0,0.0,143.0,0.1855,38.54,204,523
uikit,OnionBrowser,7132.0,10876.0,62.0,386.0,118.0,,1004.0,609.0,6.0,1.9,0.0,1329.0,15.7,8405.0,1517.0,6100.0,17515.0,17145.0,7617.0,34660.0,254541.66,691.6800000000001,28.755000000000003,102827.65,5712.645,1.0395,285.0,287.0,0.0,384.0,0.4983,30.205,790,1314
uikit,Tuist-Pokedex,1444.0,2252.0,42.0,147.0,34.0,,221.0,2.0,4.0,0.0,12.3,290.0,16.7,1731.0,595.0,1537.0,3309.0,3209.0,2132.0,6518.0,40270.72,164.405,10.879999999999999,5153.87,286.32500000000005,0.152,62.0,136.0,0.0,63.0,0.3131,49.4,88,241
uikit,YouTag,6138.0,7989.0,23.0,343.0,25.0,,808.0,899.0,17.0,2.9,0.0,760.0,11.0,6898.0,725.0,4964.0,18965.0,19595.0,5689.0,38560.0,318319.91,1498.35,50.55,495931.84,27551.77,3.099,240.0,632.0,0.0,334.0,0.2752,15.89,819,1011
uikit,youtube-iOS,989.0,1530.0,14.0,93.0,29.0,,168.0,357.0,19.0,5.4,0.0,294.0,22.9,1283.0,318.0,1234.0,3484.0,3551.0,1552.0,7035.0,50361.19,696.43,27.310000000000002,59625.649999999994,3312.535,0.878,72.0,110.0,0.0,16.0,0.3956,32.655,60,152
uikit,fearless-iOS,2011.0,2510.0,62.0,135.0,25.0,,291.0,16.0,1.0,0.2,0.0,26.0,1.3,2037.0,857.0,1868.0,4733.0,4529.0,2725.0,9262.0,54441.87,178.25,13.885000000000002,7933.655000000001,440.755,0.1965,43.0,166.0,0.0,34.0,0.2057,49.2,146,339
